id,pred,pred_proba
40669,0,0.01
40670,0,0.02
40671,0,0.03
40672,0,0.25
40673,0,0.02
40674,0,0.04
40675,0,0.04
40676,0,0
40677,0,0.41
40678,1,0.57
40679,0,0.28
40680,0,0.02
40681,0,0.35
40682,0,0.06
40683,0,0.19
40684,0,0.17
40685,0,0
40686,0,0.02
40687,0,0.05
40688,0,0
40689,0,0.06
40690,0,0.12
40691,0,0.02
40692,0,0.01
40693,1,0.61
40694,0,0.01
40695,0,0.08
40696,0,0.11
40697,0,0.04
40698,0,0.45
40699,0,0.1
40700,0,0.24
40701,0,0.01
40702,0,0.02
40703,0,0.11
40704,0,0
40705,0,0
40706,0,0.02
40707,0,0.09
40708,0,0.07
40709,0,0.01
40710,0,0.08
40711,0,0.13
40712,0,0.01
40713,0,0.04
40714,0,0
40715,0,0
40716,0,0.03
40717,0,0.07
40718,0,0.06
40719,0,0.06
40720,0,0.18
40721,0,0.04
40722,0,0
40723,0,0.01
40724,0,0.11
40725,1,0.55
40726,0,0.05
40727,0,0.43
40728,0,0.04
40729,0,0
40730,0,0.31
40731,0,0.06
40732,0,0.24
40733,0,0
40734,0,0.01
40735,0,0.02
40736,0,0.14
40737,0,0.06
40738,0,0.15
40739,0,0.01
40740,0,0.01
40741,0,0.15
40742,0,0
40743,0,0.08
40744,0,0
40745,0,0.24
40746,0,0
40747,0,0
40748,0,0
40749,0,0
40750,0,0.25
40751,0,0
40752,0,0.03
40753,0,0.01
40754,0,0.08
40755,0,0.07
40756,0,0.05
40757,0,0
40758,0,0.04
40759,0,0
40760,0,0.01
40761,0,0.16
40762,0,0.26
40763,0,0.31
40764,0,0.47
40765,0,0.01
40766,0,0.34
40767,0,0.04
40768,0,0
40769,0,0.11
40770,0,0.05
40771,0,0.01
40772,0,0.26
40773,0,0.06
40774,0,0.05
40775,0,0.01
40776,0,0.15
40777,0,0.03
40778,0,0.02
40779,0,0.2
40780,0,0.03
40781,0,0.03
40782,0,0.04
40783,0,0.06
40784,0,0.21
40785,0,0.04
40786,0,0.03
40787,0,0.03
40788,0,0.02
40789,0,0.03
40790,0,0.24
40791,0,0.04
40792,0,0.09
40793,0,0.08
40794,0,0.08
40795,0,0
40796,0,0.01
40797,0,0.24
40798,0,0.01
40799,0,0.1
40800,0,0
40801,0,0
40802,0,0
40803,0,0.48
40804,0,0.02
40805,0,0.01
40806,0,0.02
40807,0,0
40808,0,0
40809,0,0
40810,0,0.25
40811,0,0.01
40812,0,0.02
40813,0,0
40814,0,0.01
40815,0,0.4
40816,0,0.02
40817,1,0.72
40818,0,0.08
40819,0,0
40820,0,0
40821,0,0.12
40822,1,0.62
40823,0,0.02
40824,1,0.72
40825,0,0.01
40826,0,0.33
40827,0,0.16
40828,0,0
40829,0,0.09
40830,0,0.03
40831,0,0.02
40832,0,0
40833,0,0.2
40834,0,0.05
40835,0,0
40836,0,0
40837,0,0
40838,0,0.09
40839,0,0.01
40840,0,0.05
40841,0,0
40842,0,0.46
40843,0,0.22
40844,0,0.01
40845,0,0.06
40846,0,0.02
40847,0,0.03
40848,0,0
40849,0,0.3
40850,0,0.05
40851,0,0.02
40852,0,0.03
40853,0,0
40854,0,0.05
40855,1,0.6
40856,0,0.01
40857,0,0.37
40858,0,0.07
40859,0,0.01
